Country,Began,Ended,Duration in Days,Dead,Displaced,Main cause,Severity *,Affected sq km,Magnitude (M)**,Longitude of Centroid X,Latitude of Centroid Y
Bolivia,25-Jan-06,17-Apr-06,83,23,100000,Heavy rain,1,955843.2,7.899464747,-63.4256,-16.0334
Philippines,26-Jan-06,05-Feb-06,11,4,256641,Heavy rain,1,63468.41,5.843950304,121.817,17.0173
Greece,02-Jan-06,20-Jan-06,19,0,0,Snowmelt,1,4583.43,4.939944204,26.4726,41.5521
Guyana,08-Jan-06,14-Feb-06,38,20,5000,Heavy rain,1,24216.56,5.963896048,-58.6627,6.89182
Trinidad,14-Jan-06,17-Jan-06,4,0,600,Heavy rain,2,2252.49,4.255752859,-61.2393,10.3192
Australia,09-Jan-06,31-Jan-06,23,0,1500,Tropical cyclone,2,808059.61,7.570201231,116.936,-23.2603
Indonesia,08-Jan-06,12-Jan-06,5,0,6000,Heavy rain,1,912.764,3.659328507,108.215,-6.38134
Hungary,03-Jan-06,11-Jan-06,9,0,0,Heavy rain,1,45838.45,5.615472433,19.5834,47.7171
Indonesia,01-Jan-06,04-Jan-06,4,125,7781,Monsoonal rain,1,2550.79,4.008734697,113.342,-8.02272
USA,31-Dec-05,18-Jan-06,19,0,4000,Heavy rain,1,140515.03,6.426476381,-121.099,39.494
Democratic Republic of Congo,24-Dec-05,28-Dec-05,5,1,0,Heavy rain,1,1102.97,3.741533704,15.2131,-4.13276
Western Sahara,22-Dec-05,26-Dec-05,5,0,3000,Heavy rain,2,114098.67,6.057280582,-10.8789,27.1188
Malawi,22-Dec-05,07-Feb-06,48,23,50000,Heavy rain,2,224148.16,7.332806411,37.1689,-17.2365
Philippines,05-Dec-05,29-Dec-05,25,9,60000,Monsoonal rain,1,4629.7,5.063492859,119.171,10.0917
Canada,05-Dec-05,16-Dec-05,12,0,56,Ice Jams,2,1834.71,4.643778670,-98.249,51.8455
Vietnam,04-Dec-05,24-Dec-05,21,62,20000,Heavy rain,1,63089.06,6.122173351,108.583,13.607
Albania,30-Nov-05,03-Dec-05,4,3,0,Heavy rain,1,10408.03,4.619428527,20.2064,40.4745
Thailand,23-Nov-05,12-Jan-06,51,69,700000,Monsoonal rain,2,70520.88,6.856917895,100.124,7.20467
Sri Lanka,21-Nov-05,23-Nov-05,3,6,8000,Heavy rain,1,30135.72,4.956202827,79.9473,7.90959
Vietnam,18-Nov-05,21-Nov-05,4,5,3000,Heavy rain,1,16015.58,4.806602662,108.104,15.5251
Jamaica,15-Nov-05,17-Nov-05,3,3,0,Heavy rain,1,761.612,3.358855033,-76.937,18.1724
France,15-Nov-05,17-Nov-05,3,2,1000,Heavy rain,1,1981.92,3.774207375,3.00636,42.9478
Australia,08-Nov-05,13-Nov-05,6,1,1000,Heavy rain,1,204295.58,6.088410221,143.117,-33.5795
Columbia,15-Sep-05,16-Dec-05,93,95,100000,Heavy rain,1,115246.52,7.030110769,-75.311,8.52116
Vietnam,02-Nov-05,04-Nov-05,3,20,15000,Tropical cyclone,1,16656.85,4.698714130,108.217,15.6484
Nicaragua,30-Oct-05,15-Nov-05,17,2000,20000,Tropical cyclone,1,57711.98,5.991714896,-83.6336,14.1106
India,23-Oct-05,09-Dec-05,48,279,300000,Monsoonal rain,1,131307.99,6.799532391,78.7317,11.7804
Vietnam,20-Oct-05,28-Oct-05,9,67,1500,Heavy rain,1,28847.57,5.414351745,109.071,12.7525
Haiti,23-Oct-05,26-Oct-05,4,26,1500,Tropical cyclone,1,12264.27,4.690701694,-72.4696,18.9658
Italy,23-Oct-05,24-Oct-05,2,6,0,Heavy rain,1,1199.3,3.379957829,16.8435,41.0532
India,21-Oct-05,28-Oct-05,8,13,3000000,Heavy rain,1,29111.38,5.367152780,87.9347,21.9409
Jamaica,19-Oct-05,25-Oct-05,7,24,100000,Tropical cyclone,1,47853.29,5.525009842,-83.3284,22.4834
Indonesia,18-Oct-05,19-Oct-05,2,28,12000,Heavy rain,1,2463.6,3.692600191,97.7538,3.50517
Spain,13-Oct-05,15-Oct-05,3,4,0,Heavy rain,1,4080.57,4.087842087,2.69698,41.8978
UK,12-Oct-05,14-Oct-05,3,2,0,Heavy rain,1,8925.77,4.427766946,-2.89794,55.5114
USA,08-Oct-05,17-Oct-05,10,11,3000,Heavy rain,2,38291.77,5.884135437,-72.314,43.0798
Vietnam,07-Oct-05,11-Oct-05,5,17,10000,Heavy rain,1,8374.03,4.621904517,106.82,17.1257
Bangladesh,03-Oct-05,22-Oct-05,20,19,100000,Heavy rain,1,22573.98,5.654638132,88.977,25.6406
